address,microstx
12WDLxfe9U3nB4huoQMwTXmJBG5g7GpzLL,1068812500
12WYBsPTbGjqfcKqvTomPWHMjo1xs2dRZe,13541666671
12WeZWAVt6TFiwoUxRbL5VK3J9bC5jR28j,972725695
12WrktnocBXf2NAUXtqpuecRYnd9EkM5c7,2690631945
12X8RruWEFR9LUt5Z7ZG2uRUfE7QtX1rLo,20984723
12XGHVpEzMDdFbZ13E4RyLVLBLbdbBCN95,214223612
12XMWzVJoEuuzbCqagqxBRLT1tdNxJkUzR,1041666667
12XSoJsXiV2KX2VSFVixZ7khQgqKUhoJam,164893056
12Y3cYB5LQdAg7DTjUtZou1D97xknXPCCz,69444445
12YB2c5ocPcnjLA8sCJEirdBqzwSim6VFB,411219445
12YpnMtVEGHUFx3YMyduieiwaZPBfKRZfe,138888889
12YvBxuLBSwUGa6sxkuAP8hDpw7WhEQeD3,277777778
12ZBbYZd1kiC4u9uovzB1ghsM27w9C5sja,1031250000
12ZXW5TzmTbD7u1WznrYyFXDgLf1vrytso,276295834
12ZfQdF5Jt83UVJob2SNTuFXDa9dSQTYRS,34722223
12ZgqHWbcN88MJKGNXhEDAsXMuKh2pWsv5,34783334
12Zx353SD8iG1TWwkoJiSbJWivFLcfnJt9,21530
12aB5mK3wYFXUkFYeGKFDn99rdgY2Cnv9a,27761112
12aSE1odaD9Xoev9oNavMxy8osFgCHcABf,41666667
12aq7CPthBpRTPEyTE4hu93GsEGve6un8U,27820834
12ayF5ZvafC6oXifqzhAvS8tzGQHyLT3p5,347222223
12bBVb55Ea7EQGH5dEqdxun8ghZEFziSmP,868055556
12bEd6C3adVBeTKTcsPQWQxWUbnQrFjjRv,1315006945
12bMqBzvCWHQhtSU9TXMXVUo5S8rWobvoW,97286112
12bhVZqf7MUf7uNgh7DXAYQ6rFxc5GzktU,708337
12bjAug3GkLayRmPg452Gu2geEFuCwZpzK,1041675000
12bvfapLzH2seMYdAvQGP85iZPnMcj1Y7d,1319373612
12c6NnhVT9iQxpKopc6PC5qw1zUyu2nwTb,45138708337
12c7shv57LhHRYdrNHd46WVgGeqK911FnX,1044363889
12cEbDsmzym7ZD3aYv52t4qyczdiviatzy,13948612
12cHRS7LKe2to13oQJ2hWo8FtnYWisZGLM,13544375000
12cX4sTNsNo4BBYbmbd5k6J6VYsU2NKCrs,276052778
12ckffecMu9yKn2eJVFZguraHv3WxYxEVh,155384723
12ctfvnuZXxr3J1Qdihwgs46ThXeBQvx4t,1041666667
12dPCRW6ufUPGA8TDbh8ndg1wjFNQZGRWx,1125000000
12dVZFC5eGWJ9i6UXrZ7pJm4YwbNUXkFbH,86805556
12dbHME1pQNmiZ1a4GmCDpi4Gfgzn28nTa,1027520834
12dwSDjmFA8Siz91Atct1ncX4AyVno5L7v,45640291671
12eFVKrqbghyodnbpSVNSEDpYBgcVdomet,1002194445
12eV6y4Pm35vGKJqe8Aw9R4y9sgqsEa29J,41666667
12eYb3Y8aRH3W4pjn4pzdDXtsEZynW23wy,0
12eutjxYm5EMF82gWf631NWozqswufYvXE,2013888889
12fEWfznjGWa71XU14Jxrj6zrBWtWFsnoc,140330556
12fYkJLBmZtvPe6XguahP4pM4EukexrtPQ,694444445
12frkqwBAtSYsuXm65odL65R37U5stgg2f,416666667
12fvXf15H3sGbgmDCUcFfnJoehPNstVxAj,10426000000
12g5qoQmYpwj3Dh5BzQMjLPRkEivzGyrn5,0
12g6dxrWFZSvbEKQjeQvK2G7YdTX6ir2T5,145833334
12gErwzuxLdHnJuHCr2f8c3FYwEyQRNmqA,13877778
12gFzdBfSbu1irgFVSUvg7QeFxxmKqvRUM,694444445
12gbvpF89fQ4vgScK5qu3GwZJaWjzh8wdr,1047750000
12gfyQUeY7nYefFc5SeJ1m8dudtpRo7SvJ,1038739584
12gxzenswtbnyAtYxrJky5aP4tCUt4a8fD,912866200
12hDCuMsGLfCxnYH7z46DbfD1jwCoKCUhR,1041666667
12hS2HQ2x7XzduoXZRV6cU3jwvdAZkAqbv,45054750000
12hXJPm6QuPqKH9Eq7sfCbdvSVYYm2EDeq,125000000
12hpMGKNJzenJ9JAm1RjiVCRZYM2xMUKRg,45138708337
12hsg12igBhZamGk5wnC5vtJgroVvoCneq,1515227778
12iaHPYWQhGAS5zoWByndun4i4ArirnDH6,45020625000
12idrTAmUEexDzQSCFrBsWdL3yUuPQ3PMX,1041844445
12j3hzLwtS6Xwr2HYgv43CjcVSUCr4CYqq,62373612
12jFifojeoxQjk3BFm7VvgFfAN5CMMgdKB,1319444445
12jhbJZB8gUXj66357SW3jLcojN652k5vk,386852778
12jkNGbewQqG3NZygZMpHJEiTdNGWoLQff,19000000
12k9XobfXXjHw4XeA2pa7nWnBqzrpd8wke,411456945
12kHQ3ebrvkBrAPoE6wRou3CFwnhWpeCsw,556104167
12mJbwZcEhQDMFxe3LA2rNwGpmmzgt4fmi,416666671
12mMgmSnaWmq8nX2uNRBsgXi6RqqqZFyWr,41666667
12ms5KHLbQvvWBZuZBerHvRfU9KeDGBXK6,136326389
12msyw8RiV23mkSpa6iV1SgQqeiu9CoZ3u,416666667
12n4GyLMofm4RGCTtMrMNzL1Grr5MxypCp,1987709723
12nUfDgT5DpU3DMAP8PgZJeRJr1PxcCUEU,13888889
12nVQTtH7hGBeJTDKP1noEvNyjbHKjztZ4,55881945
12naT41RRha5ZVcrazebrGabNqA36Dshye,1046109723
12ny6tFSS2CDJyNm5BqaykzsAG7f8L4Xfn,166498612
12nzFM28FDkawnmSGatYiK1Pfv2CmNYdRS,9815072917
12o2AXJnUUfxKLbLVHaDJwi3FFdmQZEzuB,1044440278
12oDpcuynDJ67SGKSem9YP8E6LP5j7uvRF,13916667
12oGFDBQoXQ7AySEk7ock8UN5TUZkgTVTP,1038739584
12okYdJXZNnbpCka3LKvfkYCLWCuz7oHYk,107916667
12omji83U3jx3MUA3gFRmesVLStAdnPUWv,22569625000
12pLhkPQ8MHG1jahFmAWrTgGWc6zjdje4t,1041666667
12pdNXCDjskEWrTREXCHcetVCqtQJAXgRC,416666667
12q4tpYX6Q39WoXg7c3xXow35ugoXBNsfk,27000000
12q7R6YPaTGKWaQMwuFZdmoku8HmzRo9J2,52222223
12qfeGbWxdHRx9WaX1jnqhwruyEmFmvFSo,22569625000
12qvFDt1Qaw4PfTX1jhTDAESPr3a9oGYhs,41666667
12r41Jsb5wt9g4n1kvzJUURKPxS3dZikt2,352518056
12rFjfUT9KAwAbu1LFJGEUEVjQxPfXCKgy,15475000
12rNV2NuqexgLhiYmKbtvDgGz5ANdp9LUk,1041666667
12rcTTv5EWq4uxi9Pzi8qdcuWAnq7crW59,1174255556
12rmcDhe3E8vafxKhHTD4tyJtXK1Z4rcPe,21484723
12rrAP5fiCrzoa3RFpK81MVDHFWJuTfgLF,553408334
12rzw6jmWoCJ4F8MJ6o98jWKVsXioRdti4,13854167
12sMqQnLWdzcNbTABHiDSJ11oz65nx5oWf,1040593750
12tQRYcckc83n2r7g2Xjcw7pBmsU4mqMFD,1041666667
12tfBuqCejm72q4wRGJvE2buoPBGgT3Njj,89692958337
12uVVtmbvjcoZaLhxfmrikXtYxQRvH2RSD,67708333337
12uqSGcj5cuP1KTpBryGy7uHDiKcip94pY,13541666671
12vFj4aafsnuxT6JnvBTKf7Ynawj3Nv6YE,792416671
12vXF5zMqW5WchpJjN21zrmtimZsqYkHqd,41666667
12vdojDys4JogQfHBoWeHA5pN9dreVzn7L,451680556
12vj8hU7dwYTzGjQr7qPdnPRQe7XP6ZfHA,0
12vuTKoQnA3SXSAr8fp8gm3ExcYJW2qeKj,138888889
12w22LJzm1H3bM132Bcqhr9B9DYKZhiuM6,44846208337
12wGJk9Xa9KuJZic8rAeHqP3AmdGbwusJR,90277958337
12wGdPm2L1H7ikM6fx6TfcE2VXEnusBuy4,139431945
12wJTiKwGsyfCJukBGj9B4KWQ7teGVZfEK,3819444445
