lock_send_date,address,lock_send,metadata,receive_whitelisted,type,value,vesting,vesting_total
2018-12-02T02:56:55-05:00,SP2PQZD0KQDBPK2VYP6RN1047H50ERCPV4TAM1FGK,552625,dde9c0f58f4c97073727e123c4bb35ed0b63f40ee93f23438824e1fd7f3ebfb2,true,STACKS,0,[object Object],16667000000
2018-12-02T02:56:55-05:00,SP346JN5P5Q2BRADNCHJEEZW6WN8H0867GJPBKFR5,552625,c7afb4536ddef0de75e3513217c9786a8b89b5033708ac50e1cc7f0825092a5d,true,STACKS,0,[object Object],10833000000
2018-12-02T02:56:55-05:00,SP3ZKN5TC9CGRXVPHQMY6MR6KGP04Z71VB67HATD6,552625,fb79ab452cd73a1aee2e5fe6b1918d8bf2c3d6a2ea976983bd481b929513915b,true,STACKS,0,[object Object],1667000000
2018-12-02T02:56:55-05:00,SP382GQ478CS0TBWJ6ZJ1EN3459XX0KDR52JV7TYG,552625,fbf367d33f8bf0754cd116194480f4ad277adf677560b879bb296e71721a436f,true,STACKS,0,[object Object],166671000000
2018-12-02T02:56:55-05:00,SP3ZEE3WR7166ZN43WZH64ZHV3D02YRXTJKVQGHDX,552625,10a4562e452170b4c9a93f5f62700a05b54a3e8a6a055701774a36531be3ccba,true,STACKS,0,[object Object],374996000000
2018-12-18T22:56:55-05:00,SP141GJCBV861DFN2BJH26V4QTXJ37SNRZ41XRPCR,555049,658a692ba0953e68c91f1a11d6922fa6fc5f4a9fc4b461a52eeb3f7ff71617bf,true,STACKS,0,[object Object],74888000000
2018-12-02T02:56:55-05:00,SP3V5795PTWQDSYQM1ZJ94KDEF7B3FDHD0Z8T69AF,552625,4b64c753e7f32e37397507fd2e93ee938ccf3fef44f5e223130a2167617baa47,true,STACKS,0,[object Object],208322000000
2018-12-20T02:56:55-05:00,SP3EQWEXB20XV1NHMM48SKVK5GDNZNK3V936P8N6H,555217,0f6bbe363745806b4a56e6ee9cb15e9d2980191b71e74c55348cf67e52e0a914,true,STACKS,0,[object Object],97002000000
2018-10-22T08:56:55-05:00,SP1SD74ZCEEE3BA0HKFFT44N0HFFQ1CTJBP79Q24S,546757,b57091890280d2ad123460150677dd32b954bff0addb7abd79031a3928ca68ef,true,STACKS,0,[object Object],912575000000
2018-12-19T22:56:55-05:00,SP1MNPC1MNTFFWPVHTW8824XVDGMECVXVXACSAEAF,555193,0e086571c3e261823f6e4b0770aff45edff50f89c329d0a7e5b5764320ca71ae,true,STACKS,0,[object Object],42455000000
